id,question1,question2,is_duplicate
328,Number of Hours Worked on Date Last Worked,04-13-17,1
329,Suffix,MAROUN,1
330,"If yes, please explain how the work related injury/illness occurred:",I was at Working trying to bring a box of tools into my workplace.,1
331,Gender,JOSEPH,0
332,Mailing Address,(456) 672-5040,1
333,"If yes, date hospitalized (mm/dd/yy):",Jefferson Hospital,0
334,"Employee Name (First, Middle, Last)",,0
335,My Spouse:,09-19-18,0
336,Customer Policy #:,"WILLOUGHBY, MARIA D.",0
337,Lanuage Preference,09-11-18,0
338,Physician Tax ID Number:,1557 Edgewood Ave,0
339,Social Security Number,HUSBAND,0
340,Have you advise the patient to return to work?,No,0
341,City,Lifting heavy objects,0
342,"If you hane delivered, what was your delivery date? (mm/dd/yy)",Marshall,0
343,please initial here,,0
344,Specialty,Birmingham,1
345,Customer Policy #:,139894,1
346,Employer Name,Herniated Disc,0
347,Fax Number,559-297-8517,1
348,Date of Birth (mm/dd/yy),M,1
349,Do you support your patient's return to work within the restrictions and limitations you provided?,04-20-17,1
350,Zip Code,55402,1
351,State,Full Time,0
352,Group Policy #:,"WILLOUGHBY, MARIA D.",1
353,Primary Diagnosis:,No,0
354,Date,09-19-18,1
355,Fax Number,61-1274265,1
356,Other person:,617-54-1889,0
357,Telephone Number,559-297-8517,1
358,IV,m25.512 m75.102,1
359,Federal Income Tax:,Yes,0
360,Date of last office visit (mm/dd/yy):,,0
361,City,JOSEPH,0
362,EE Name:,572617254,1
363,When did you first notice the symptoms?,04-13-17,1
364,Telephone Number,495 202 8689,0
365,Employee's Name (Last Name,,0
366,IV,,0
367,please initial here,Part Time,0
368,Does the spouse live in the US?,M,0
369,Date Surgery Performed (mm/dd/yy),06 13 83,0
370,What is your medical condition?,3711 LAUREL LANE,0
371,Insured's Signature,617-54-1889,0
372,Gender,Fell while wrongly stepping down the stair at home,0
373,City,NY,1
374,Customer #:,867341,1
375,Apt. #,3711 LAUREL LANE,1
376,Other person,'S',0
377,Have you already delivered?,,0
378,Physician Signature,'S',0
379,"If no, please explain why you are not filing a Workers' Compensation claim",Lifting heavy objects,0
380,Date of Birth (mm/dd/yy),Spouse/Domestic Partner,0
381,Policyholder Signature,SELF,0
382,ICD Code:,,0
383,State,COYANOSA,0
384,Do yo work for another employer?,Group Short Term Disability,0
385,Hours per day,No driving Limited use of Left Shoulder,1
386,Date of next office visit (mm/dd/yy):,12-18-18,1
387,Physician's Tax ID Number:,61-1274265,0
388,Provider Name,Roger Champman,1
389,Social Security Number,432-561-1937,0
390,My Spouse:,Self,0
391,Degree/Specialty,1557 Edgewood Ave,1
392,Group Policy #:,864053,1
393,Social Security Number,JOSEPH,0
394,Date Last Worked (mm/dd/yy),Short Term Disability,0
395,City,LAWYER,1
396,State,Lifting heavy objects,0
397,"Patient's Name (Last Name, Suffix, First Name, MI)",15025,0
398,Date of Birth (mm/dd/yy),I was at Working trying to bring a box of tools into my workplace.,0
399,Is the claim the result of a work related injury or illness?,08 10 68,0
400,Date of Birth (mm/dd/yy),104 02 8783,1
401,Degree,Limited Use of Left Shoulder,0
402,Please list specific duties of your accupation/job are you unable to perform due to your medical condition?,Yes,0
403,Spouse/Partner's Date of Birth (mm/dd/yy),4,0
404,(Telephone Number),559-65-7651,0
405,Date Last Worked (mm/dd/yy),,0
406,Signature,No,0
407,through (mm/dd/yy),Percocel 51325,0
408,Diagnosis:,22505,0
409,Policyholder Signature,'S',1
410,Are you currently working with the Employer listed on this application?,686-05-0758,0
411,in.,5,1
412,Date of first visit for this current condition(s) (mm/dd/yy):,M51.26,0
413,Please check all types of coverage you have with Unum,,0
414,Date of Birth (mm/dd/yy),08 10 68,1
415,Social Security Number,,0
416,CURRENT LIMITATIONS (activities patient cannot do),Yes,1
417,Date of last office visit (mm/dd/yy):,Vaginal C-Section,0
418,"If your patient has CURRENT RESTRICTIONS (activities patient should not do) and/or LIMITATIONS (activities patient cannot do) list below. Please be specific and understand that a reply of ""no work"" or ""totally disabled"" will not enable us to evaluate your patient's claim for benefits and may result in us having to contact you for clarification.",09/20/18,1
419,Work Telephone Number,At work co-worker push back on me while turning shoulder,0
420,Telephone No.,,0
421,Telephone No.,(256) 293-5095,1
422,SS #:,,0
423,CPT Code:,22505,1
424,"If yes, please provide restrictions and limitations",Unknown,0
425,My Spouse:,910-734-7634,0
426,Social Security Number,104 42 7346,1
427,Zip,Roger Champman,0
428,"3. In the past 12 months, have you or your spouse (if applying) been diagnosed with or received treatment by a medical professional for:",'S',0
429,Was surgery performed?,Jefferson Hills,0
430,Fax No.,09-10-18,1
431,Other Family Member:,432-561-1937,1
432,Physician Signature,01 28 75,0
433,Actual Delivery Date (mm/dd/yy):,"CRAIG, THOMAS",1
434,"If yes, what type of delivery?",04-15-17,0
435,What percentage of the Short Term Disability benefit is taxable?,Yes,0
436,Part-time hours per week:,No,1
437,"If yes, how much do you want withheld from each check? (whole dollar amount)$",,0
438,Date,"ARANDA, ELMER, F",1
439,Spouse/Partner's Date of Birth (mm/dd/yy),No,1
440,Are you related to this patient?,04-20-17,0
441,Please check all types of coverage you have with Unum,Short Term Disability,1
442,Has the patient been treated for the same or a similar condition by another physician in the past?,"M25.562, S83.242D",0
443,Procedure,Pre Opt,1
444,Full Time (mm/dd/yy):,No,1
445,2. Have you (applicant) or your spouse (if applying) been diagnosed with or received treatment for Acquired Immune Deficiency Syndrome (AIDS)?,No,0
446,Facility Name,Jefferson Hospital,1
447,Home Telephone Number,At work co-worker push back on me while turning shoulder,0
448,"If claim is for a child, please state your relationship to the child",CLAUSEN,0
449,"If yes, date hospitalized (mm/dd/yy):",08 10 68,0
450,Name,Thomas Craig,1
451,Expected Delivery Date (mm/dd/yy),"M25.562, S83.242D",0
452,Date Surgery Performed (mm/dd/yy):,09-10-18,0
453,St/PO Box,11-16-2017,0
454,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",No,0
455,Home Address,JOSEPH,0
456,What is the primary diagnosis preventing the patient from working?,,0
457,Date you were first treated by a physician (mm/dd/yy),09-10-18,1
458,Zip,61-1274265,0
459,City,ARANDA,0
460,State,Blank,0
461,Zip,Yes,0
462,State,YA,1
463,Facility Name,PA,0
464,First Name,Female,0
465,Social Security Number,08 10 68,1
466,Preferred e-mail address (for confirmation purposes only),Marga.br@chammy.info,1
467,"Patient's Name (Last Name, Suffix, First Name, MI)",,0
468,Were you at work at the time of your accident?,,0
469,Signature of Physician,09/20/18,0
470,Patient's Height:,,0
471,"If yes, date of accident (mm/dd/yy)",Blank,0
472,Time of Accident,p.m.,0
473,Has the patient been treated for the same/similar condition in the past?,"CRAIG, THOMAS",0
474,"If related to an injury, where and how did the injury occur?",MAROUN,0
475,Unknown,No,1
476,Patient Telephone Number,,0
477,Delivery Type:,m25.512 m75.102,0
478,Employer:,461568,0
479,Diagnosis:,Vaginal C-Section,0
480,Group Policy #:,494172,0
481,What is your expected delivery date?,20115,0
482,Secondary Diagnosis:,976 587 1052,0
483,"Name of Patient (Last Name, Suffix, First Name, MI)",559 65 7651,1
484,Apt. #,04-13-17,0
485,"If you have not returned to work, when do you expect to return?",(456) 672-5040,0
486,Employee (Applicant) Signature,'S',0
487,E-mail Address,,0
488,Employee (Applicant) Signature,,0
489,Part-time hours per week,Yes,0
490,Fax Number,495 202 8689,0
491,Gender,192-78-2587,1
492,Other person:,914-890-5521,1
493,Are you currently working with the Employer listed on this application?,09/21/1973,0
494,Social Security Number,559-65-7651,1
495,State,ORTHOPAEDIC SURGERY,0
496,Are you related to this patient?,No,1
497,Telephone Number,859-301-2663,1
498,Address,04-15-17,0
499,Last Name,ARANDA,1
500,"If yes, on what date (mm/dd/yy)?",06 13 83,0
501,Address,565 Coal Valley Rd,1
502,Gender,Life Insurance,0
503,Are you currently self-employed,MARGARITA,0
504,"If yes, on what date (mm/dd/yy)?",04-13-17,0
505,"If yes, what procedure was performed?",15025,0
506,Date,MATTHEW J. LARKIN,0
507,MI,F,1
508,Date of Birth (mm/dd/yy),06 13 87,1
509,Group Policy #:,461568,0
510,Date Signed,617-54-1889,0
511,Zip,4462 Ritter Street,0
512,"If related to an injury, where and how did the injury occur?",,0
513,Date Surgery Performed (mm/dd/yy),,0
514,Were there any complications causing your patient to stop working prior to her expected delivery date?,09-10-18,0
515,Did you advise your patient to stop working?,L 4-5 disc herniation resulting in R Ls radiculopathy,0
516,Confinement Dates: (mm/dd/yy),,0
517,"Patient Name (Last Name, First Name, MI, Suffix)",CLAUSEN EDITH S,1
518,Did you advice your patient to stop working?,22505,0
519,Date of Birth (mm/dd/yyyy),,0
520,"If no, when do you expect improvement in the patient's functional capacity?",04-20-17,1
521,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",859-817-7848,0
522,Fax Number,"Mullaney, Jason",0
523,"Insured's Name (Last Name, Suffix, First Name, MI)",'S',0
524,State,Life Insurance,0
525,Zip,No,0
526,First Name,F,1
527,"Name (First, Middle, Last)",,0
528,"If yes, please explain",,0
529,Employer Name,559 65 7651,0
530,Date (mm/dd/yyyy),DENNIS WHITE,0
531,Diagnosis:,560 SOUTH LOOP ROAD,0
532,Is patient still under your care?,04-13-17,1
533,MI,02 18 37,1
534,Do you support your patient's return to work within the restrictions and limitations you provided?,8,0
535,Telephone Number where we can reach you,I was at work trying to lift a box of tools but it was a bit too heavy for me. My back felt a sharp pain afterwards,0
536,Has the patient been treated for the same/similar condition in the past?,04-13-17,0
537,ICD Code:,Unknown,0
538,Specialty,(456) 672-5040,1
539,CURRENT RESTRICTIONS (activities patient should not do),04-20-17,0
540,Date the injury occurred (mm/dd/yy),04-12-17,1
541,State,256-293-5095,0
542,Customer Policy #:,669513,1
543,What is your expected delivery date? (mm/dd/yy),,0
544,"If yes, please explain how the work related injury/illness occurred:",,0
545,Facility Name,565 Coal Valley Rd,1
546,"Insured/Policyholder Name (Last Name, First Name, MI, Suffix)",,0
547,Are you related to this patient?,MD,0
548,Gender,Spouse/Domestic Partner,1
549,Preferred e-mail address (for confirmation purposes only),JOSEPH,0
550,"Employee Name (Last Name, Suffix, First Name, MI)",495 202 8689,0
551,Date,104028783,0
552,Date,'S',0
553,Employee Name:,,0
554,Physician Tax ID Number:,21-0046005,1
555,Is this a work related injury or accident?,Got hurt on the job,1
556,Date of last office visit (mm/dd/yy):,09-18-18,1
557,"If yes, please explain:",09-11-18,0
558,Are you related to this patient?,859-817-7848,0
559,Expected Delivery Date (mm/dd/yy):,,0
560,Employer selected benefit[s],M,0
561,State,NY,0
562,Time of Accident,5:30,1
563,"If yes, what is the relationship",'S',0
564,Date of next visit for this condition (mm/dd/yy),,0
565,Expected Delivery Date (mm/dd/yy),Blank,1
566,Contingent beneficiary,WIFE,0
567,Date of Birth (mm/dd/yy),YA,0
568,Degree,4462 Ritter Street,1
569,Group Accident,2748 ROCKET DRIVE,0
570,through (mm/dd/yy):,09-10-18,1
571,EE Name:,"HAYES, PAMELA, A",0
572,Date,HUSBAND,1
573,My Spouse:,"Clausen, Edith, S.",1
574,Date of first visit for this condition (mm/dd/yy),(456) 672-5040,1
575,"If yes, what type of delivery?",,0
576,Signature,MATTHEW J. LARKIN,0
577,Mailing Address,565 Coal Valley Rd,0
578,Date of Birth (mm/dd/yy),Spouse,0
579,Lanuage Preference,,0
580,Treatment Dates:,,0
581,EE Name:,"ROSEN , ALBERT , K",1
582,St/PO Box,02/04/1965,0
583,please initial here,559-297-8404,0
584,Do you support your patient's return to work within the restrictions and limitations you provided?,35203,0
585,Date of next examination (mm/dd/yy):,559 65 7651,0
586,Were there any complications causing you to stop work prior to your expected delivery date?,,0
587,Social Security Number,09-19-18,0
588,Zip,20115,1
589,Are you related to this patient?,,0
590,Date of next office visit (mm/dd/yy):,09-10-18,0
591,Occupation,211085,0
592,Physician's Tax ID Number:,,0
593,"2. For other than pregnancy, is your disability caused by",09-10-18 afternoon,0
594,Printed Name,'S',0
595,Printed Name,104028783,0
596,Zip,CLAUSEN EDITH S,0
597,City,Arlington Heights,1
598,4. Have you been hospitalized?,Yes,1
599,Address,Physical therapy after Surgery and Pain meds.,0
600,Hours per day,35203,0
601,"If yes, what is the relationship?",2,0
602,Cost per pay period,40,0
603,II,m75.102,0
604,Date of first visit for this condition (mm/dd/yy),Yes,0
605,[Optional Employee selected benefit],11-16-2017,0
606,Date of last examination (mm/dd/yy):,"Pain in Left Shoulder, limitation of motion",0
607,Home Telephone Number,No,0
608,Treatment Dates:,03 12 18,1
609,Please check all types of coverage you have with Unum,Voluntary Accident Insurance,1
610,Specialty,Got hurt on the job,0
611,"Name of Patient (Last Name, Suffix, First Name, MI)",08 10 68,0
612,Mailing Address,Yes,0
613,Do yo work for another employer?,No,1
614,Fax Number,09-19-18,0
615,Unknown,,0
616,"If the employee is released to return-to-work in restricted duty, are you willing to discuss accommodations?",Thomas Craig,1
617,"If your patient has CURRENT RESTRICTIONS (activities patient should not do) and/or LIMITATIONS (activities patient cannot do) list below. Please be specific and understand that a reply of ""no work"" or ""totally disabled"" will not enable us to evaluate your patient's claim for benefits and may result in us having to contact you for clarification.",MD,0
618,"If no, please explain why you are not filing a Workers' Compensation claim",(456) 672-5040,0
619,Did you advice your patient to stop working?,,0
620,Date (mm/dd/yyyy),'S',1
621,Application Type:,,0
622,"Patient's Name (Last Name, First Name, MI, Suffix)",958976877,0
623,Employer Name,English,1
624,Is this a work related injury or accident?,4462 Ritter Street,0
625,Medical Specialty,MD,1
626,Diagnosis:,Left knee pain,1
627,Zip,'S',0
628,Patient's Height:,57 kg/126 lbs,1
629,Gender,Yes,0
630,St/PO Box,Yes,0
631,"Name of Patient (Last Name, Suffix, First Name, MI)","MAROUN, MARGARITA B",1
632,Date of next examination (mm/dd/yy):,,0
633,Social Security Number,$5.80,0
634,"If related to an injury, where and how did the injury occur?",I was at work trying to lift a box of tools but it was a bit too heavy for me. My back felt a sharp pain afterwards,1
635,Mailing Address,4462 Ritter Street,1
636,Procedure,Jefferson Hills,1
637,Fax Number,456-672-5040,1
638,"If yes, what was the last day that you worked? (mm/dd/yy)",03-11-18,1
639,Hospital/Facility Name,565 Coal Valley Rd,1
640,Printed Name,03-12-18,0
641,Employer:,08-15-47,0
642,Printed Name,"ARANDA, ELMER, F.",0
643,"If yes, expected return to work date (mm/dd/yy):",8,1
644,Please check the type of claim you re filing:,Accidental Injury,1
645,Name of Person Completing Form,Yes,0
646,3. Is your condition work related?,YA,0
647,"If claim is for a child, please state your relationship to the child",,0
648,Home Address,3711 LAUREL LANE,1
649,Printed Name,559-65-7651,1
650,What percentage of the Short Term Disability benefit is taxable?,,0
651,"If yes, as of (mm/dd/yy):",,0
652,"Name of Patient (Last Name, Suffix, First Name, MI)",432 343 1836,0
653,Date the injury occurred (mm/dd/yy),04-13-17,1
654,Cellular Telephone Number,F,0
655,Policyholder Signature,"CLAUSEN, JOSEPH N.",0
656,E-mail Address,495 202 8689,0
657,Through,,0
658,"If yes, what is the relationship",,0
659,Date Surgery Performed (mm/dd/yy):,See attached files,1
660,First Name,N,1
661,Language Preferences,Short Term Disability,1
662,Where there any complications causing you to stop work prior to your expected delivery date?,04-15-17,0
663,Relationship,Yes,0
664,"Physician Name (Last Name, First Name, MI, Suffix) Please Print",,0
665,Name of Person Completing Form,,0
666,"If yes, as of what date? (mm/dd/yy)",560 SOUTH LOOP ROAD,0
667,Customer Number,MEGHAN C BROWN,1
668,What is your medical condition?,Turn rotator cuff,1
669,Physician's Tax ID Number:,8,0
670,Physician's Tax ID Number:,958976877,1
671,Is the patient's condition due to injury or sickness involving the patient's employment?,Yes,1
672,Treating Physician Telephone Number,859-301-2663,1
673,Social Security Number,686-05-0758,1
674,State,20115,1
675,C. Information About the Patient (if different from Insured/Policyholder) Check one:,,0
676,What were your first symptoms,Severe Pain,1
677,Date of Birth (mm/dd/yy),No,1
678,Degree/Specialty,09/20/18,0
679,Apt. #,COYANOSA,1
680,Please check all types of coverage you have with Unum,04-13-17,1
681,in.,8,1
682,Employer,494172,0
683,III,,0
684,(Telephone Number),MARGARITA MAROUN,0
685,"If yes, what is the relationship?",No,1
686,Has the patient been hospitalized?,Yes,1
687,Fax No.,20,0
688,State Income Tax,(229) 460 6725,0
689,Secondary Diagnosis:,m75.102,1
690,(Telephone Number),'S',1
691,Secodary ICD Code:,L 4-5 disc herniation resulting in R Ls radiculopathy,0
692,This claim is for:,Spouse,1
693,III,m25.512 m75.102,1
694,"If yes, how much do you want withheld from each check? (whole dollar amount)$",09-19-18,0
695,Address,1557 Edgewood Ave,1
696,"If yes, date of accident (mm/dd/yy)",03 11 18,1
697,IV,Surgery -Repair rotator cuff L-Shoulder,0
698,Medical Specialty,ORTHOPAEDIC SURGERY,1
699,"Employee Name (First, Middle, Last)",WIFE,0
700,Employer Name,3711 LAUREL LANE,0
701,Was surgery performed?,08 10 68,0
702,Date of next office visit (mm/dd/yy):,Yes,1
703,Name,Yes,0
704,"If yes, please provide treatment dates (mm/dd/yy): From",No,1
705,Lanuage Preference,Spanish,1
706,Full Time Part Time,Part Time,1
707,ft.,,0
708,Does the spouse live in the US?,40,0
709,Delivery Type:,Vaginal C-Section,1
710,Date of last examination (mm/dd/yy):,04-18-17,1
711,"Physician Name (Last Name, First Name, MI, Suffix) Please Print",ORTHOPAEDIC SURGERY,1
712,through (mm/dd/yy),,0
713,What were your first symptoms,,0
714,Date of Birth (mm/dd/yy),04-15-17,0
715,Is this condition the result of an accidental injury?,859-817-7848,0
716,Cost per pay period,Wellness,0
717,Is this condition the result of an accidental injury?,ORTHOPAEDIC SURGERY,0
718,Medical Specialty,03 12 18,0
719,Customer Policy #:,860191,0
720,"If yes, please provide treatment dates (mm/dd/yy): From",976 587 1052,0
721,Date of first visit for this condition (mm/dd/yy),09-18-18,1
722,Full Time (mm/dd/yy):,20,0
723,First Name,S,1
724,"If known, please check all type of coverage you have with Unum.",No,0
725,Preferred e-mail address (for confirmation purposes only),No,0
726,Secondary Diagnosis:,09/10 - 09/18/18,0
727,City,11-16-2017,0
728,When did you first notice the symptoms?,,0
729,Social Security Number,Female,1
730,Date of first visit for this pregnancy (mm/dd/yy):,,0
731,Social Security Number,"Employee, Spouse",0
732,Date of first visit for this pregnancy (mm/dd/yy):,976 587 1052,1
733,Date Signed,MARGARITA MARDUN,0
734,Home Telephone Number,830 763 2514,1
735,"Physical Name (Last Name, First Name, MI, Suffix) Please Print",Orthopedic,1
736,"Patient Name (Last Name, First Name, MI, Suffix)",Arlington Heights,0
737,Date of next office visit (mm/dd/yy):,Vaginal C-Section,0
738,What symptoms is your patient reporting about his/her condition?,m25.512 m75.102,0
739,Treating Physician Telephone Number,'S',1
740,Social Security Number,EDITH,0
741,Diagnosis:,03-12-18- 04-09-18,1
742,"If yes, expected return to work date (mm/dd/yy):",04-20-17,1
743,State,MINNESOTA,1
744,Printed Name,09-19-18,0
745,SS #:,"HAYES, PAMELA, A",0
746,Date of Birth (mm/dd/yy),Physical therapy after Surgery and Pain meds.,1
747,Do yo work for another employer?,,0
748,Did you advise your patient to stop working?,Vaginal C-Section,0
749,Do you support your patient's return to work within the restrictions and limitations you provided?,Yes,1
750,Through,No,1
751,Group Accident,09/21/1973,0
752,City,PA,0
753,St/PO Box,2748 ROCKET DRIVE,1
754,Did you advise your patient to stop working?,L Shoulder Strain,0
755,Date of last examination (mm/dd/yy):,Yes,0
756,"If yes, please explain:",4,0
757,"If yes, what is the relationship",958976877,0
758,Number of Hours Worked on Date Last Worked,Voluntary Accident Insurance,0
759,Date of Birth (mm/dd/yy),01 28 75,1
760,Signature,,0
761,Has the patient been hospitalized?,04-13-17,1
762,To (mm/dd/yy):,09-19-18,0
763,Where there any complications causing you to stop work prior to your expected delivery date?,35203,0
764,Was this a motor vehicle accident?,Left knee pain,1
765,Is this condition the result of his/her employment,EDGE WOOD,0
766,Full Time (mm/dd/yy),20,0
767,Please check the type of claim you re filing:,Spouse,1
768,(Telephone Number),09-19-18,0
769,"3. In the past 12 months, have you or your spouse (if applying) been diagnosed with or received treatment by a medical professional for:",No,1
770,ft.,6,0
771,What diagnostic or clinical findings support your diagnosis?,976 587 1052,0
772,Please check all types of coverage you have with Unum.,No,1
773,"Insured's Name (Last Name, Suffix, First Name, MI)",02 18 67,1
774,"If yes, on what date (mm/dd/yy)?",09-18-18,0
775,First Name,Turn rotator cuff,0
776,"If your patient has CURRENT RESTRICTIONS (activities patient should not do) and/or LIMITATIONS (activities patient cannot do) list below. Please be specific and understand that a reply of ""no work"" or ""totally disabled"" will not enable us to evaluate your patient's claim for benefits and may result in us having to contact you for clarification.",'S',0
777,Date Surgery Performed (mm/dd/yy):,22505,1
778,Physician's Tax ID Number:,Limited Use of Left Shoulder,0
779,Were you at work at the time of your accident?,No,1
780,Is this condition the result of an accidental injury?,03 11 18,1
781,Zip,04-20-17,0
782,Has the patient been treated for the same/similar condition in the past?,,0
783,Patient's Weight,09-18-18,0
784,Please check all types of coverage you have with Unum,976 587 1052,0
785,First Name,B,0
786,Date of Birth (mm/dd/yy),Percocel 51325,0
787,Are there any cognitive deficits or psychiatric conditions that imapact function?,,0
788,Gender,No,0
789,"Please explain how your accident happend. (If you need more space, please attach a separate sheet of paper).",,0
790,"If yes, have you filed a Worker's Compensation claim?",08 10 68,0
791,MI,CLAUSEN,0
792,Secondary Dianosis:,m75.102,1
793,Other Family Member:,"ARANDA, LINA / MOTHER",1
794,To (mm/dd/yy):,,0
795,Prefered e-mail address (for confirmation purposes only),MARIA D. WILLOUGHBY,1
796,Did you advise your patient to stop working?,06 13 83,0
797,in.,0,0
798,Home Address,IL,0
799,Telephone No.,Yes,0
800,Address,EDGE WOOD,1
801,Date of Hire (mm/dd/yy),,0
802,Social Security Number,914-890-5521,0
803,Date,MARGARITA MAROUN,1
804,To (mm/dd/yy):,2,0
805,State,PA,0
806,State Income Tax,Yes,1
807,Language Preference,10601,0
808,Zip,914 890 5521,1
809,The State in which you work,07-01-66,0
810,Telephone Number,559-297-8517,0
811,"Employee Name (Last Name, Suffix, First Name, MI)",09-19-18,0
812,This claim is for:,CLAUSEN,1
813,City,21-0046005,0
814,What are the other conditions that prevent the patient from working,m75.102,0
815,Date of Discharge (mm/dd/yy),Roger Champman,0
816,ICD Code:,m75.102,1
817,"If yes, please provide treatment dates (mm/dd/yy): From",905 331 8089,0
818,Please check all types of coverage you have with Unum,MARIA D. WILLOUGHBY,0
819,Preferred e-mail address (for confirmation purposes only),"Craig, Thomas G.",1
820,"If yes, indicate date (mm/dd/yy):",04-18-17,1
821,Date of Birth (mm/dd/yy),,0
822,What symptoms is your patient reporting about his/her condition?,"No improvement despite medicine, injection and Theraphy",1
823,Hospital/Facility Name,Jefferson Hospital,1
824,Social Security Number,104 02 8783,1
825,Please provide the duration of these restrictions and limitations. From (mm/dd/yy):,,0
826,Date of next visit for this condition (mm/dd/yy),09-18-18,1
827,Date of last office visit (mm/dd/yy):,12-18-18,1
828,"If claim is for a child, please state your relationship to the child",WHITE PLAINS,0
829,Date of first visit for this condition (mm/dd/yy),06 13 83,0
830,Hospital/Facility Name,06 13 83,0
831,Actual Delivery Date (mm/dd/yy):,Vaginal C-Section,0
832,Cost per pay period,$5.80,1
833,Spouse/Partner's Name,Marshall,0
834,Please check all types of coverage you have with Unum.,MARGARITA,0
835,"If yes, date hospitalized (mm/dd/yy):",Physical therapy after Surgery and Pain meds.,0
836,State,40,0
837,Date of next visit for this condition (mm/dd/yy),(229) 460 6725,0
838,"If yes, have you received Workers' Compensation benefits for your occupational injury?",No,0
839,Customer #:,867341,0
840,"If no, please explain why you are not filing a Workers' Compensation claim",Roger Champman,1
841,Does the spouse live in the US?,Yes,1
842,Fax Number,06 13 87,0
843,Name,"Maroun, Margarita B",0
844,CPT Code:,,0
845,Please provide the duration of these restrictions and limitations. From (mm/dd/yy):,11/20/18,1
846,through (mm/dd/yy):,I was at work trying to lift a box of tools but it was a bit too heavy for me. My back felt a sharp pain afterwards,0
847,Hours per day,8,1
848,State Income Tax,20,1
849,Physician's Tax ID Number:,61-1274265,1
850,State,IL,1
851,Employer,,0
852,Group Policy #:,,0
853,Number of hours worked on date last worked,09-11-18,1
854,"If yes, what was the last day that you worked? (mm/dd/yy)",,0
855,Group Policy #:,864053,0
856,Date of Hire (mm/dd/yy),Wellness,0
857,"If yes, date hospitalized (mm/dd/yy):",B,0
858,Zip,256-293-5095,1
859,What diagnostic or clinical findings support your diagnosis?,Surgery -Repair rotator cuff L-Shoulder,1
860,Employee (Applicant) Signature,704-538-8617,0
861,Has the patient been treated for the same/similar condition in the past?,Surgery -Repair rotator cuff L-Shoulder,0
862,Claimant Signature,,0
863,"If yes, what procedure was performed?","5'6""",0
864,MI,10601,0
865,What symptoms is your patient reporting about his/her condition?,976 587 1052,0
866,Social Security Number,Self,1
867,What percentage of the Short Term Disability benefit is taxable?,20 %,1
868,MI,06 13 83,1
869,State,79730,1
870,What type of delivery?,No,1
871,Part-time hours per day,559-297-8404,0
872,Date of first visit for this condition (mm/dd/yy),(229) 460 6751,0
873,Policyholder Signature,'S',0
874,Date of Birth (mm/dd/yy),(456) 672-5040,0
875,"If yes, please explain:",06 13 83,0
876,My Spouse:,MARCUS MAROUN,1
877,Accident Policy Number,CLAUSEN,0
878,"If yes, on what date (mm/dd/yy)?",Unknown,1
879,2. Have you (applicant) or your spouse (if applying) been diagnosed with or received treatment for Acquired Immune Deficiency Syndrome (AIDS)?,8,0
880,Contingent beneficiary,09/21/1973,1
881,through (mm/dd/yy):,M51.26,0
882,"If yes, as of what date? (mm/dd/yy)",MD,0
883,Was surgery performed?,04-13-17,0
884,The State in which you work,97 W Main St,1
885,"If your patient has CURRENT RESTRICTIONS (activities patient should not do) and/or LIMITATIONS (activities patient cannot do) list below. Please be specific and understand that a reply of ""no work"" or ""totally disabled"" will not enable us to evaluate your patient's claim for benefits and may result in us having to contact you for clarification.",,0
886,CPT Code:,22505,0
887,My Spouse:,910-734-7634,1
888,6. Have you retured to work?,,0
889,Is the patient's condition due to injury or sickness involving the patient's employment?,976 587 1052,0
890,Marital Status:,Married,1
891,Is this condition the result of his/her employment,No,1
892,Cellular Telephone Number,541 997 2817,1
893,Telephone Number,559-297-8404,1
894,"Patient Name (Last Name, First Name, MI, Suffix)",Part Time,0
895,What are the other conditions that prevent the patient from working,Rotator Cuff Tear L-Shoulder,1
896,Spouse/Partner's Date of Birth (mm/dd/yy),No,0
897,Date of first visit for this current condition(s) (mm/dd/yy):,,0
898,Date of Birth (mm/dd/yy),09-10-18,0
899,"If yes, on what date (mm/dd/yy)?",09/10 - 09/18/18,1
900,Has the patient been treated for the same or a similar condition by another physician in the past?,"M25.562, S83.242D",1
901,Secodary ICD Code:,M51.26,1
902,Have you filed a Workers' Compensation claim?,06 13 83,0
903,Employee SSN:,704-538-8617,1
904,2. Have you (applicant) or your spouse (if applying) been diagnosed with or received treatment for Acquired Immune Deficiency Syndrome (AIDS)?,No,1
905,What type of delivery?,104 02 8783,0
906,Date of Birth (mm/dd/yy),MEGHAN C BROWN,0
907,ICD Code:,Vaginal C-Section,1
908,Date of Birth (mm/dd/yy),09-18-18,0
909,"Name of Patient (Last Name, Suffix, First Name, MI)",Unknown,0
910,Employee SSN:,,0
911,Address,61-1274265,0
912,ft.,0,1
913,Full Time (mm/dd/yy):,09-18-18,0
914,"If yes, how much do you want withheld from each check? (whole dollar amount)$",20,0
915,Relationship to Insured/Policyholder (check one),Spouse/Domestic Partner,1
916,Is the claim the result of a work related injury or illness?,,0
917,"If yes, please explain:",Injury,1
918,Medications (Please attach medication log),,0
919,St/PO Box,11-16-2017,1
920,ICD Code:,976 587 1052,0
921,Scheduled NUmber of Work Hours/week,40,1
922,EE Name:,,0
923,Were there any complications causing you to stop work prior to your expected delivery date?,No,1
